Place ID,Name,Latitude,Longitude,Type,Rating,Reviews,Freguesias
ChIJHcV48pczGQ0R-V99qQ6R8Uw,Hostel do Chile,38.7334458,-9.1338625,"['lodging', 'point_of_interest', 'establishment']",2.8,606,Arroios
ChIJ5a4uiQkzGQ0RIx4CKEfMypo,Hotel Capital Lisboa,38.7389786,-9.1474613,"['lodging', 'point_of_interest', 'establishment']",4.1,306,Avenidas Novas
ChIJdYkkvpgzGQ0Rit8wMqCn6pM,inLisbonSMS,38.73309759999999,-9.1387303,"['lodging', 'point_of_interest', 'establishment']",4.6,39,Arroios
ChIJR88GGpgzGQ0RDj6mo9gEZ_4,Quartos do Fado,38.73350059999999,-9.1352253,"['lodging', 'point_of_interest', 'establishment']",4.2,39,Arroios
ChIJ9UPGtxMzGQ0RHeIhLWWzCuA,BmyT Central Apartments,38.7325206,-9.135359700000002,"['lodging', 'point_of_interest', 'establishment']",5,2,Arroios
ChIJr6RiSpYzGQ0RWSb0rMqoRGA,Lisbon heart 1-cozy Flat-Family Friendly,38.73336189999999,-9.1315046,"['lodging', 'point_of_interest', 'establishment']",4.5,8,Penha de França
ChIJfZmFI58zGQ0RY7FKU80qFXk,Residencia Whitelove,38.7319444,-9.1411111,"['lodging', 'point_of_interest', 'establishment']",3,75,Arroios
ChIJyefxMJYzGQ0R7RYd7Nwm3aQ,Hospedaria D. Damélio,38.7339175,-9.1312009,"['lodging', 'point_of_interest', 'establishment']",3.1,65,Penha de França
ChIJafXGraIzGQ0RNhLIayitlYE,BreatheLisboa,38.7350066,-9.1345639,"['lodging', 'point_of_interest', 'establishment']",2.7,74,Arroios
ChIJcXb0aqAzGQ0RK6tMCIqQGFU,Grimaldi Palace Hostel,38.7354469,-9.1444187,"['lodging', 'point_of_interest', 'establishment']",2.9,21,Avenidas Novas
ChIJqepg66AzGQ0RtT_FndDuwyw,Braganza Palace Hostel,38.737337,-9.1441396,"['lodging', 'point_of_interest', 'establishment']",3.9,9,Avenidas Novas
ChIJq6quvL0zGQ0Rk2vkaPOR8yY,Caraujo Apartments,38.7363805,-9.1310663,"['lodging', 'point_of_interest', 'establishment']",4.5,2,Penha de França
ChIJG4CU1JszGQ0R2e-5Dy0We3I,Estefania Guesthouse I,38.728832,-9.1374216,"['lodging', 'point_of_interest', 'establishment']",2.1,15,Arroios
ChIJc1Ks7pkzGQ0RumnSYcuUKDE,Akicity Lisboa In III,38.7301958,-9.1355851,"['lodging', 'point_of_interest', 'establishment']",3,2,Arroios
ChIJRW7MnL4zGQ0RaeXIbU6isY8,Artistic White Flat,38.7382169,-9.1287841,"['lodging', 'point_of_interest', 'establishment']",No rating,0,Areeiro
ChIJa2iEN6YzGQ0RfhK43lIFul8,Stay Home Lisbon,38.7431302,-9.1421856,"['lodging', 'point_of_interest', 'establishment']",3.6,16,Areeiro
ChIJE49wgqQzGQ0Rnt620D16B0M,Financial Management Institute of Social Security,38.7395504,-9.1367901,"['local_government_office', 'point_of_interest', 'establishment']",1.8,97,Areeiro
ChIJS_Lv96EzGQ0R_wb84Urcl1E,Panoramic View Saldanha Guesthouse,38.7347774,-9.1401262,"['lodging', 'point_of_interest', 'establishment']",2.2,37,Arroios
ChIJx-7LBpczGQ0RenyJ1TEevC0,Akicity Lisboa Pearl,38.73186980000001,-9.132143500000002,"['lodging', 'point_of_interest', 'establishment']",2,3,Penha de França
ChIJ6xkxP5czGQ0RfUEiPp9iKTQ,Silver Light - Touristic Apartments,38.7304307,-9.1330486,"['lodging', 'point_of_interest', 'establishment']",No rating,0,Arroios
ChIJyejx-5UzGQ0RB2EWNZVV5DU,Veiga,38.73458770000001,-9.128626799999996,"['lodging', 'point_of_interest', 'establishment']",4.3,4,Penha de França
ChIJY04vSaMzGQ0R5Yr5nQZxWPE,Mini,38.738648,-9.1351709,"['lodging', 'point_of_interest', 'establishment']",3.7,181,Areeiro
ChIJFx-oSqIzGQ0RI0SlMcfHgAg,Instituto Superior Técnico,38.7368192,-9.138705,"['university', 'point_of_interest', 'establishment']",4.4,806,Areeiro
ChIJ851CtaczGQ0ReR-Tq9p86eM,Guest House Campo Pequeno,38.74305,-9.141765899999998,"['lodging', 'point_of_interest', 'establishment']",3.8,9,Areeiro
ChIJGa8id5kzGQ0R2CBQdp_UaEQ,Our Friends Apartment,38.7298287,-9.1374529,"['lodging', 'point_of_interest', 'establishment']",5,9,Arroios
ChIJTfoFyJkzGQ0R76yIEOlWpTY,D&N Hospedagem,38.7311757,-9.1358887,"['lodging', 'point_of_interest', 'establishment']",2.5,79,Arroios
ChIJHS8p8JYzGQ0RfM9v_eGKKOw,Come Inn Lisbon,38.7315141,-9.1309191,"['lodging', 'point_of_interest', 'establishment']",2.1,148,Penha de França
ChIJCdHJBqczGQ0RjrOE-xkacA4,Culturgest,38.74097269999999,-9.1426704,"['movie_theater', 'art_gallery', 'point_of_interest', 'establishment']",4.5,2206,Areeiro
ChIJVUunL5gzGQ0RGJE3Qy0t8BE,Home Chic Room Arroios,38.7324147,-9.1350695,"['lodging', 'point_of_interest', 'establishment']",1,1,Arroios
ChIJN2ZxK5QzGQ0RSyc4KsnkGnM,Plan B - Apartment Lisbon,38.7321616,-9.128774000000002,"['lodging', 'point_of_interest', 'establishment']",2.3,3,Penha de França
